1101010001,1101010,LATIUNG
1101010002,1101010,LABUHAN BAJAU
1101010003,1101010,SUAK LAMATAN
1101010004,1101010,ANA AO
1101010005,1101010,LATALING
1101010006,1101010,PULAU BENGKALAK
1101010007,1101010,BADEGONG
1101010008,1101010,KEBUN BARU
1101010009,1101010,ULUL MAYANG
1101010010,1101010,PASIR TINGGI
1101010011,1101010,LABUHAN JAYA
1101010012,1101010,LABUHAN BAKTI
1101010013,1101010,BATU RALANG
1101010014,1101010,ALUS ALUS
1101010015,1101010,SEUNEUBOK
1101010016,1101010,BLANG SEBEL
1101010017,1101010,TRANS BARU
1101010018,1101010,TRANS MERANTI
1101010019,1101010,TRANS JERNGE
1101020022,1101020,AIR PINANG
1101020023,1101020,KUALA MAKMUR
1101020024,1101020,GANTING
1101020025,1101020,LINGGI
1101020026,1101020,LUGU
1101020027,1101020,SINABANG
1101020028,1101020,SUKA MAJU
1101020029,1101020,SUKA KARYA
1101020030,1101020,SUKA JAYA
1101020031,1101020,AIR DINGIN
1101020032,1101020,KOTA BATU
1101020035,1101020,SUAK BULUH
1101020036,1101020,UJUNG TINGGI
1101020037,1101020,PULAU SIUMAT
1101020038,1101020,SEFOYAN
1101020039,1101020,AMAITENG MULIA
1101020040,1101020,AMERIA BAHAGIA
1101021001,1101021,SITAL
1101021002,1101021,LEUBANG
1101021003,1101021,LEUBANG HULU
1101021004,1101021,AWE SEUBAL
1101021005,1101021,LANTIK
1101021006,1101021,AWE KECIL
1101021007,1101021,SALUR
1101021008,1101021,SALUR LATUN
1101021009,1101021,SALUR LASENGALU
1101021010,1101021,NANCALA
1101021011,1101021,MAUDIL
1101021012,1101021,INOR
1101021013,1101021,NAIBOS
1101021014,1101021,LAAYON
1101021015,1101021,ANGKEO
1101021016,1101021,BUNON
1101021017,1101021,SILENGAS
1101021018,1101021,PULAU TEUPAH
1101022001,1101022,KAHAT
1101022002,1101022,BUSUNG INDAH
1101022003,1101022,NANCAWA
1101022004,1101022,LABUAH
1101022005,1101022,ABAIL
1101022006,1101022,SIMPANG ABAIL
1101022007,1101022,LANTING
1101022008,1101022,LASIKIN
1101022009,1101022,MATANURUNG
1101022010,1101022,SUA SUA
1101022011,1101022,BATU BATU
1101022012,1101022,SITUBUK
1101030001,1101030,DIHIT
1101030002,1101030,LAUKE
1101030003,1101030,LAMBAYA
1101030004,1101030,LAKUBANG
1101030005,1101030,KAMPUNG AIE
1101030006,1101030,LAUREE
1101030007,1101030,LATITIK
1101030008,1101030,LAMAYANG
1101030009,1101030,WEL WEL
1101030020,1101030,SITUFA JAYA
1101030021,1101030,PUTRA JAYA
1101030022,1101030,LUAN SORIP
1101030023,1101030,SUAK BARU
1101030024,1101030,SEBBE
1101030025,1101030,KUTA BARU
1101030026,1101030,WEL LANGKOM
1101031001,1101031,KUALA BAKTI
1101031002,1101031,LUGU SEBAHAK
1101031003,1101031,GUNUNG PUTIH
1101031004,1101031,BABUSSALAM
1101031005,1101031,MUARA AMAN
1101031006,1101031,LUAN BALU
1101031007,1101031,SAMBAI
1101031008,1101031,KUALA BARU
1101031009,1101031,TANJUNG RAYA
