1101,11,KABUPATEN SIMEULUE
1102,11,KABUPATEN ACEH SINGKIL
1103,11,KABUPATEN ACEH SELATAN
1104,11,KABUPATEN ACEH TENGGARA
1105,11,KABUPATEN ACEH TIMUR
1106,11,KABUPATEN ACEH TENGAH
1107,11,KABUPATEN ACEH BARAT
1108,11,KABUPATEN ACEH BESAR
1109,11,KABUPATEN PIDIE
1110,11,KABUPATEN BIREUEN
1111,11,KABUPATEN ACEH UTARA
1112,11,KABUPATEN ACEH BARAT DAYA
1113,11,KABUPATEN GAYO LUES
1114,11,KABUPATEN ACEH TAMIANG
1115,11,KABUPATEN NAGAN RAYA
1116,11,KABUPATEN ACEH JAYA
1117,11,KABUPATEN BENER MERIAH
1118,11,KABUPATEN PIDIE JAYA
1171,11,KOTA BANDA ACEH
1172,11,KOTA SABANG
1173,11,KOTA LANGSA
1174,11,KOTA LHOKSEUMAWE
1175,11,KOTA SUBULUSSALAM
1201,12,KABUPATEN NIAS
1202,12,KABUPATEN MANDAILING NATAL
1203,12,KABUPATEN TAPANULI SELATAN
1204,12,KABUPATEN TAPANULI TENGAH
1205,12,KABUPATEN TAPANULI UTARA
1206,12,KABUPATEN TOBA SAMOSIR
1207,12,KABUPATEN LABUHAN BATU
1208,12,KABUPATEN ASAHAN
1209,12,KABUPATEN SIMALUNGUN
1210,12,KABUPATEN DAIRI
1211,12,KABUPATEN KARO
1212,12,KABUPATEN DELI SERDANG
1213,12,KABUPATEN LANGKAT
1214,12,KABUPATEN NIAS SELATAN
1215,12,KABUPATEN HUMBANG HASUNDUTAN
1216,12,KABUPATEN PAKPAK BHARAT
1217,12,KABUPATEN SAMOSIR
1218,12,KABUPATEN SERDANG BEDAGAI
1219,12,KABUPATEN BATU BARA
1220,12,KABUPATEN PADANG LAWAS UTARA
1221,12,KABUPATEN PADANG LAWAS
1222,12,KABUPATEN LABUHAN BATU SELATAN
1223,12,KABUPATEN LABUHAN BATU UTARA
1224,12,KABUPATEN NIAS UTARA
1225,12,KABUPATEN NIAS BARAT
1271,12,KOTA SIBOLGA
1272,12,KOTA TANJUNG BALAI
1273,12,KOTA PEMATANG SIANTAR
1274,12,KOTA TEBING TINGGI
1275,12,KOTA MEDAN
1276,12,KOTA BINJAI
1277,12,KOTA PADANGSIDIMPUAN
1278,12,KOTA GUNUNGSITOLI
1301,13,KABUPATEN KEPULAUAN MENTAWAI
1302,13,KABUPATEN PESISIR SELATAN
1303,13,KABUPATEN SOLOK
1304,13,KABUPATEN SIJUNJUNG
