1101;11;Kabupaten Simeulue
1102;11;Kabupaten Aceh Singkil
1103;11;Kabupaten Aceh Selatan
1104;11;Kabupaten Aceh Tenggara
1105;11;Kabupaten Aceh Timur
1106;11;Kabupaten Aceh Tengah
1107;11;Kabupaten Aceh Barat
1108;11;Kabupaten Aceh Besar
1109;11;Kabupaten Pidie
1110;11;Kabupaten Bireuen
1111;11;Kabupaten Aceh Utara
1112;11;Kabupaten Aceh Barat Daya
1113;11;Kabupaten Gayo Lues
1114;11;Kabupaten Aceh Tamiang
1115;11;Kabupaten Nagan Raya
1116;11;Kabupaten Aceh Jaya
1117;11;Kabupaten Bener Meriah
1118;11;Kabupaten Pidie Jaya
1171;11;Kota Banda Aceh
1172;11;Kota Sabang
1173;11;Kota Langsa
1174;11;Kota Lhokseumawe
1175;11;Kota Subulussalam
1201;12;Kabupaten Nias
1202;12;Kabupaten Mandailing Natal
1203;12;Kabupaten Tapanuli Selatan
1204;12;Kabupaten Tapanuli Tengah
1205;12;Kabupaten Tapanuli Utara
1206;12;Kabupaten Toba Samosir
1207;12;Kabupaten Labuhan Batu
1208;12;Kabupaten Asahan
1209;12;Kabupaten Simalungun
1210;12;Kabupaten Dairi
1211;12;Kabupaten Karo
1212;12;Kabupaten Deli Serdang
1213;12;Kabupaten Langkat
1214;12;Kabupaten Nias Selatan
1215;12;Kabupaten Humbang Hasundutan
1216;12;Kabupaten Pakpak Bharat
1217;12;Kabupaten Samosir
1218;12;Kabupaten Serdang Bedagai
1219;12;Kabupaten Batu Bara
1220;12;Kabupaten Padang Lawas Utara
1221;12;Kabupaten Padang Lawas
1222;12;Kabupaten Labuhan Batu Selatan
1223;12;Kabupaten Labuhan Batu Utara
1224;12;Kabupaten Nias Utara
1225;12;Kabupaten Nias Barat
1271;12;Kota Sibolga
1272;12;Kota Tanjung Balai
1273;12;Kota Pematang Siantar
1274;12;Kota Tebing Tinggi
1275;12;Kota Medan
1276;12;Kota Binjai
1277;12;Kota Padangsidimpuan
1278;12;Kota Gunungsitoli
1301;13;Kabupaten Kepulauan Mentawai
1302;13;Kabupaten Pesisir Selatan
1303;13;Kabupaten Solok
1304;13;Kabupaten Sijunjung
1305;13;Kabupaten Tanah Datar
1306;13;Kabupaten Padang Pariaman
1307;13;Kabupaten Agam
1308;13;Kabupaten Lima Puluh Kota
1309;13;Kabupaten Pasaman
1310;13;Kabupaten Solok Selatan
1311;13;Kabupaten Dharmasraya
1312;13;Kabupaten Pasaman Barat
1371;13;Kota Padang
1372;13;Kota Solok
