1101010;1101;Teupah Selatan
1101020;1101;Simeulue Timur
1101021;1101;Teupah Barat
1101022;1101;Teupah Tengah
1101030;1101;Simeulue Tengah
1101031;1101;Teluk Dalam
1101032;1101;Simeulue Cut
1101040;1101;Salang
1101050;1101;Simeulue Barat
1101051;1101;Alafan
1102010;1102;Pulau Banyak
1102011;1102;Pulau Banyak Barat
1102020;1102;Singkil
1102021;1102;Singkil Utara
1102022;1102;Kuala Baru
1102030;1102;Simpang Kanan
1102031;1102;Gunung Meriah
1102032;1102;Danau Paris
1102033;1102;Suro
1102042;1102;Singkohor
1102043;1102;Kota Baharu
1103010;1103;Trumon
1103011;1103;Trumon Timur
1103012;1103;Trumon Tengah
1103020;1103;Bakongan
1103021;1103;Bakongan Timur
1103022;1103;Kota Bahagia
1103030;1103;Kluet Selatan
1103031;1103;Kluet Timur
1103040;1103;Kluet Utara
1103041;1103;Pasie Raja
1103042;1103;Kluet Tengah
1103050;1103;Tapak Tuan
1103060;1103;Sama Dua
1103070;1103;Sawang
1103080;1103;Meukek
1103090;1103;Labuhan Haji
1103091;1103;Labuhan Haji Timur
1103092;1103;Labuhan Haji Barat
1104010;1104;Lawe Alas
1104011;1104;Babul Rahmad
1104012;1104;Tanoh Alas
1104020;1104;Lawe Sigala-Gala
1104021;1104;Babul Makmur
1104022;1104;Semadam
1104023;1104;Lauser
1104030;1104;Bambel
1104031;1104;Bukit Tusam
1104032;1104;Lawe Sumur
1104040;1104;Babussalam
1104041;1104;Lawe Bulan
1104050;1104;Badar
1104051;1104;Darul Hasanah
1104052;1104;Ketambe
1104053;1104;Deleng Pokhkisen
1105080;1105;Serba Jadi
1105081;1105;Simpang Jernih
1105082;1105;Peunaron
1105090;1105;Birem Bayeun
1105100;1105;Rantau Selamat
1105101;1105;Sungai Raya
1105110;1105;Peureulak
1105111;1105;Peureulak Timur
1105112;1105;Peureulak Barat
1105120;1105;Ranto Peureulak
1105130;1105;Idi Rayeuk
1105131;1105;Peudawa
1105132;1105;Banda Alam
1105133;1105;Idi Tunong
1105134;1105;Darul Ihsan
1105135;1105;Idi Timur
1105140;1105;Darul Aman
1105150;1105;Nurussalam
1105151;1105;Darul Falah
1105160;1105;Julok
1105161;1105;Indra Makmur
1105170;1105;Pante Bidari
1105180;1105;Simpang Ulim
1105181;1105;Madat
1106010;1106;Linge
1106011;1106;Atu Lintang
1106012;1106;Jagong Jeget
1106020;1106;Bintang
1106031;1106;Lut Tawar
1106032;1106;Kebayakan
1106040;1106;Pegasing
1106041;1106;Bies
1106050;1106;Bebesen
1106051;1106;Kute Panang
1106060;1106;Silih Nara
1106061;1106;Ketol
1106062;1106;Celala
1106063;1106;Rusip Antara
1107050;1107;Johan Pahlawan
1107060;1107;Samatiga
1107061;1107;Bubon
1107062;1107;Arongan Lambalek
1107070;1107;Woyla
1107071;1107;Woyla Barat
1107072;1107;Woyla Timur
1107080;1107;Kaway Xvi
1107081;1107;Meureubo
1107082;1107;Pantai Ceuremen
1107083;1107;Panton Reu
1107090;1107;Sungai Mas
1108010;1108;Lhoong
1108020;1108;Lhoknga
1108021;1108;Leupung
1108030;1108;Indrapuri
1108031;1108;Kuta Cot Glie
1108040;1108;Seulimeum
1108041;1108;Kota Jantho
1108042;1108;Lembah Seulawah
1108050;1108;Mesjid Raya
1108060;1108;Darussalam
1108061;1108;Baitussalam
1108070;1108;Kuta Baro
1108080;1108;Montasik
